CN_Code,Term,Level
AUT.AAA.AAC.AAH.ADL.AAB.AAB,Bekleidung,7
AUT.AAA.AAC.AAH.ADL.AAB.AAB.AAA,Militärische Bekleidung,8
AUT.AAA.AAC.AAH.ADL.AAB.AAB.AAA.AAA,Rüstung,9
AUT.AAA.AAC.AAH.ADL.AAB.AAB.AAA.AAB,Uniform,9
AUT.AAA.AAC.AAH.ADL.AAB.AAB.AAD,Penisfutteral,8
AUT.AAA.AAC.AAH.ADL.AAB.AAD,Waffe / Jagd,7
AUT.AAA.AAC.AAH.ADL.AAB.AAD.AAA,Keule,8
AUT.AAA.AAC.AAH.ADL.AAB.AAD.AAB,Lanze,8
AUT.AAA.AAC.AAH.ADL.AAB.AAD.AAB.AAA,Lanzenspitze,9
AUT.AAA.AAC.AAH.ADL.AAB.AAD.AAC,Pfeil,8
AUT.AAA.AAC.AAH.ADL.AAB.AAC,Schmuck,7
AUT.AAA.AAC.AAH.ADL.AAB.AAC.AAA,Anhänger,8
AUT.AAA.AAC.AAH.ADL.AAB.AAC.AAA.AAA,Halskreuz,9
AUT.AAA.AAC.AAH.ADL.AAB.AAC.AAD,Ohrschmuck,8
AUT.AAA.AAC.AAH.ADL.AAB.AAC.AAD.AAA,Ohrring,9
